original,augmented,graph_type,complexity
"Learning Theories, , elements: Three sections, each featuring a theorist with a photo and their name: John Watson (Behaviorism), Jean Piaget (Cognitivism), John Dewey (Constructivism). Each section lists relevant theorists underneath and includes an information link labeled '+ info'.","Learning Theories, , elements: Three sections, each featuring a theorist with a photo and their name: John Watson (Behaviorism), Jean Piaget (Cognitivism), John Dewey (Constructivism). Each section lists relevant theorists underneath and includes an information link labeled '+ info'. [Visual Analysis: dense, complex | Nodes: 29, Edges: 215]",dense,complex
"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with six layers labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create; a key on the right indicates College and High School levels.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with six layers labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create; a key on the right indicates College and High School levels. [Visual Analysis: dense, complex | Nodes: 7, Edges: 32]",dense,complex
"Zone of Proximal Development in Teaching, Graph, elements: Diagonal axis labeled 'Level of Challenge' and 'Level of Competence' with 'Zone of Proximal Development' highlighted. Areas labeled: 'Anxiety' above, 'Boredom' below, indicating learner independence and assistance.","Zone of Proximal Development in Teaching, Graph, elements: Diagonal axis labeled 'Level of Challenge' and 'Level of Competence' with 'Zone of Proximal Development' highlighted. Areas labeled: 'Anxiety' above, 'Boredom' below, indicating learner independence and assistance. [Visual Analysis: sparse, complex | Nodes: 53, Edges: 165]",sparse,complex
"Big Five Personality Traits, Vertical Bar Diagram, elements: Vertical sections representing each trait: Open to Experience, Conscientiousness, Agreeableness, Neuroticism, Extraversion, with icons illustrating each trait against a background of gradient colors.","Big Five Personality Traits, Vertical Bar Diagram, elements: Vertical sections representing each trait: Open to Experience, Conscientiousness, Agreeableness, Neuroticism, Extraversion, with icons illustrating each trait against a background of gradient colors. [Visual Analysis: dense, complex | Nodes: 19, Edges: 148]",dense,complex
"Big Five Personality Traits, Circular Diagram, elements: Five colored circles representing personality traits: Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness, each with descriptors for low and high levels labeled around the circles.","Big Five Personality Traits, Circular Diagram, elements: Five colored circles representing personality traits: Neuroticism, Extraversion, Openness, Agreeableness, and Conscientiousness, each with descriptors for low and high levels labeled around the circles. [Visual Analysis: dense, complex | Nodes: 31, Edges: 290]",dense,complex
"Git Branching and Operations, Network Diagram, elements: Nodes representing branches (Master, Feature-1, Feature-2) with connections indicating flow; each node lists file versions associated with the branches.","Git Branching and Operations, Network Diagram, elements: Nodes representing branches (Master, Feature-1, Feature-2) with connections indicating flow; each node lists file versions associated with the branches. [Visual Analysis: empty, complex | Nodes: 0, Edges: 84]",empty,complex
"Big Five Personality Traits, Horizontal Diagram, elements: Five colored circles labeled O, C, E, A, N with corresponding traits: Openness - prefers routine; Conscientious - impulsive vs. disciplined; Extraversion - reserved vs. sociable; Agreeable - suspicious vs. trusting; Neuroticism - calm vs. anxious.","Big Five Personality Traits, Horizontal Diagram, elements: Five colored circles labeled O, C, E, A, N with corresponding traits: Openness - prefers routine; Conscientious - impulsive vs. disciplined; Extraversion - reserved vs. sociable; Agreeable - suspicious vs. trusting; Neuroticism - calm vs. anxious. [Visual Analysis: network, complex | Nodes: 29, Edges: 93]",network,complex
"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with layers labeled: Knowledge (bottom), Comprehension, Application, Analysis, Synthesis, and Evaluation (top), with color coding for each level.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with layers labeled: Knowledge (bottom), Comprehension, Application, Analysis, Synthesis, and Evaluation (top), with color coding for each level. [Visual Analysis: dense, complex | Nodes: 8, Edges: 56]",dense,complex
"Iterative Scrum Process, Circular Flow Diagram, elements: Outer ring with five phases labeled: Planning/Prioritization, Requirements, Design/Analysis, Implementation/Testing, and Review/Retrospective. Central 'Scrum Cycle' label. Top section showing 'Concept' with four iterations labeled Scrum 1 to Scrum 4.","Iterative Scrum Process, Circular Flow Diagram, elements: Outer ring with five phases labeled: Planning/Prioritization, Requirements, Design/Analysis, Implementation/Testing, and Review/Retrospective. Central 'Scrum Cycle' label. Top section showing 'Concept' with four iterations labeled Scrum 1 to Scrum 4. [Visual Analysis: dense, complex | Nodes: 11, Edges: 144]",dense,complex
"Impact of Population Growth on Capital and Income, Graph, elements: Graph with two investment lines labeled (δ+n₂)k and (δ+n₁)k, a production function curve s*f(k), and steady states k₂* and k₁*, illustrating shifts in capital per worker due to population growth changes.","Impact of Population Growth on Capital and Income, Graph, elements: Graph with two investment lines labeled (δ+n₂)k and (δ+n₁)k, a production function curve s*f(k), and steady states k₂* and k₁*, illustrating shifts in capital per worker due to population growth changes. [Visual Analysis: network, complex | Nodes: 43, Edges: 217]",network,complex
"Gardner's Theory of Multiple Intelligences, Circular Diagram, elements: Central circle labeled 'The theory of intelligence' surrounded by eight segments representing different intelligences: linguistic, logical-mathematical, spatial, musical, bodily-kinesthetic, interpersonal, intrapersonal, and naturalistic.","Gardner's Theory of Multiple Intelligences, Circular Diagram, elements: Central circle labeled 'The theory of intelligence' surrounded by eight segments representing different intelligences: linguistic, logical-mathematical, spatial, musical, bodily-kinesthetic, interpersonal, intrapersonal, and naturalistic. [Visual Analysis: dense, complex | Nodes: 24, Edges: 141]",dense,complex
"PESTEL Analysis of Google, Grid, elements: Six columns labeled P (Political), E (Economic), S (Sociological), T (Technological), E (Ecological), and L (Legal), each containing bullet points detailing factors affecting Google's business environment.","PESTEL Analysis of Google, Grid, elements: Six columns labeled P (Political), E (Economic), S (Sociological), T (Technological), E (Ecological), and L (Legal), each containing bullet points detailing factors affecting Google's business environment. [Visual Analysis: dense, complex | Nodes: 20, Edges: 249]",dense,complex
"PESTLE Analysis Factors, Table, elements: A table divided into six categories: Political, Economic, Social, Technological, Environmental, and Legal, with factors, details, term impacts, and overall impact color-coded.","PESTLE Analysis Factors, Table, elements: A table divided into six categories: Political, Economic, Social, Technological, Environmental, and Legal, with factors, details, term impacts, and overall impact color-coded. [Visual Analysis: dense, complex | Nodes: 9, Edges: 265]",dense,complex
"The Big Five Personality Traits, Circular Diagram, elements: Five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism, with a central title in bold.","The Big Five Personality Traits, Circular Diagram, elements: Five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism, with a central title in bold. [Visual Analysis: dense, complex | Nodes: 18, Edges: 282]",dense,complex
"Big Five Personality Traits, Mind Map, elements: Central box labeled 'Big 5' with branches for 'Traits' and 'Facets'. 'Traits' includes 'Agreeableness', 'Extraversion', 'Conscientiousness', 'Neuroticism', and 'Openness to experiences'. 'Facets' lists related characteristics under each trait, highlighting concepts like 'Trust', 'Friendliness', and 'Anxiety'.","Big Five Personality Traits, Mind Map, elements: Central box labeled 'Big 5' with branches for 'Traits' and 'Facets'. 'Traits' includes 'Agreeableness', 'Extraversion', 'Conscientiousness', 'Neuroticism', and 'Openness to experiences'. 'Facets' lists related characteristics under each trait, highlighting concepts like 'Trust', 'Friendliness', and 'Anxiety'. [Visual Analysis: dense, complex | Nodes: 14, Edges: 268]",dense,complex
"7S Framework, Circular Flow Diagram, elements: Seven interconnected elements: Strategy, Structure, Systems, Shared Values, Style, Staff, and Skills, each represented by a colored circle, with 'Shared Values' at the center.","7S Framework, Circular Flow Diagram, elements: Seven interconnected elements: Strategy, Structure, Systems, Shared Values, Style, Staff, and Skills, each represented by a colored circle, with 'Shared Values' at the center. [Visual Analysis: network, complex | Nodes: 16, Edges: 49]",network,complex
"Porter's Five Forces, Circular Flow Diagram, elements: Five colored circles representing forces: Rivalry Among Competitors, Threat of New Entrants, Bargaining Power of Buyers, Threat of Substitute Products or Services, and Bargaining Power of Suppliers, each labeled with icons.","Porter's Five Forces, Circular Flow Diagram, elements: Five colored circles representing forces: Rivalry Among Competitors, Threat of New Entrants, Bargaining Power of Buyers, Threat of Substitute Products or Services, and Bargaining Power of Suppliers, each labeled with icons. [Visual Analysis: sparse, complex | Nodes: 57, Edges: 204]",sparse,complex
"ADDIE Model, Circular Flow Diagram, elements: Central element labeled 'ADDIE' surrounded by five circles labeled: 'Analysis', 'Design', 'Development', 'Implementation', and 'Evaluation', connected in a circular layout.","ADDIE Model, Circular Flow Diagram, elements: Central element labeled 'ADDIE' surrounded by five circles labeled: 'Analysis', 'Design', 'Development', 'Implementation', and 'Evaluation', connected in a circular layout. [Visual Analysis: dense, complex | Nodes: 4, Edges: 37]",dense,complex
"The Secret Strength of UDL, List, elements: Six numbered sections with illustrations; each section describes a strategy: 1. Minimize threats and distractions, 2. Offer alternatives for auditory or visual information, 3. Embrace through multiple modes, 4. Optimize access to tasks and assistive technologies, 5. Use multiple media for communication.","The Secret Strength of UDL, List, elements: Six numbered sections with illustrations; each section describes a strategy: 1. Minimize threats and distractions, 2. Offer alternatives for auditory or visual information, 3. Embrace through multiple modes, 4. Optimize access to tasks and assistive technologies, 5. Use multiple media for communication. [Visual Analysis: dense, complex | Nodes: 26, Edges: 303]",dense,complex
"Design Thinking Process, Circular Flow Diagram, elements: Four labeled boxes: 'Analyze a Need' (top), 'Develop Ideas' (right), 'Create a Prototype' (bottom), 'Test and Evaluate' (left) connected in a circular flow with arrows indicating the direction of the process.","Design Thinking Process, Circular Flow Diagram, elements: Four labeled boxes: 'Analyze a Need' (top), 'Develop Ideas' (right), 'Create a Prototype' (bottom), 'Test and Evaluate' (left) connected in a circular flow with arrows indicating the direction of the process. [Visual Analysis: dense, complex | Nodes: 14, Edges: 106]",dense,complex
"UDL Thinking Framework, Circular Flow Diagram, elements: Circles around a central 'UDL Thinking' node with labels: 'What are the goals?', 'What does everyone need?', 'What might help?', 'Feedback', 'Use guidelines', and 'Remove barriers', with arrows indicating flow between them.","UDL Thinking Framework, Circular Flow Diagram, elements: Circles around a central 'UDL Thinking' node with labels: 'What are the goals?', 'What does everyone need?', 'What might help?', 'Feedback', 'Use guidelines', and 'Remove barriers', with arrows indicating flow between them. [Visual Analysis: dense, complex | Nodes: 15, Edges: 485]",dense,complex
"The Networked Teacher, Network Diagram, elements: Central figure labeled 'The Networked Teacher' with multiple branches connecting to various resources including 'Colleagues', 'Popular Media', 'Social Network Sites', 'Twitter', 'Podcasts', 'Wikis', 'Blogs', 'Video Conferencing', 'Conferences', 'Curriculum Documents', 'Social Bookmarking', 'Family/Local Community', and 'Print & Digital Resources'.","The Networked Teacher, Network Diagram, elements: Central figure labeled 'The Networked Teacher' with multiple branches connecting to various resources including 'Colleagues', 'Popular Media', 'Social Network Sites', 'Twitter', 'Podcasts', 'Wikis', 'Blogs', 'Video Conferencing', 'Conferences', 'Curriculum Documents', 'Social Bookmarking', 'Family/Local Community', and 'Print & Digital Resources'. [Visual Analysis: dense, complex | Nodes: 3, Edges: 182]",dense,complex
"Social Learning Theory, , elements: Title at the top: 'Social Learning Theory'. Main text describing the theory by Albert Bandura, focusing on learning through observation and vicarious reinforcement. Illustrations of a child and an adult engaged in social interaction.","Social Learning Theory, , elements: Title at the top: 'Social Learning Theory'. Main text describing the theory by Albert Bandura, focusing on learning through observation and vicarious reinforcement. Illustrations of a child and an adult engaged in social interaction. [Visual Analysis: dense, complex | Nodes: 2, Edges: 130]",dense,complex
"Prisoner's Dilemma Payoff Matrix, Grid Diagram, elements: 2x2 grid with Player A and Player B strategies labeled on the axes. Cells contain numerical payoffs: (1,1), (0,3), (3,0), and (2,2) corresponding to different strategy combinations.","Prisoner's Dilemma Payoff Matrix, Grid Diagram, elements: 2x2 grid with Player A and Player B strategies labeled on the axes. Cells contain numerical payoffs: (1,1), (0,3), (3,0), and (2,2) corresponding to different strategy combinations. [Visual Analysis: dense, complex | Nodes: 10, Edges: 38]",dense,complex
"Circular Flow of Income and Expenditure in Four Sector Economy, Flow Diagram, elements: Central flow with four sectors: Household Sector, Government Sector, Business Sector, and Foreign Sector. Arrows indicate income and expenditure directions, with labeled elements such as wages, taxes, transfers, government purchases, and foreign trade.","Circular Flow of Income and Expenditure in Four Sector Economy, Flow Diagram, elements: Central flow with four sectors: Household Sector, Government Sector, Business Sector, and Foreign Sector. Arrows indicate income and expenditure directions, with labeled elements such as wages, taxes, transfers, government purchases, and foreign trade. [Visual Analysis: dense, complex | Nodes: 2, Edges: 260]",dense,complex
"Solow Growth Model, , elements: Title at the top with the formula for production function below, followed by market clearing, household saving, investment requirement, closure rule, and dynamics of capital accumulation, each with corresponding equations.","Solow Growth Model, , elements: Title at the top with the formula for production function below, followed by market clearing, household saving, investment requirement, closure rule, and dynamics of capital accumulation, each with corresponding equations. [Visual Analysis: sparse, complex | Nodes: 62, Edges: 224]",sparse,complex
"McKinsey 7S Model, Network Diagram, elements: Central circle labeled 'Shared Values' surrounded by six outer circles labeled: 'Strategy', 'Structure', 'Systems', 'Skills', 'Style', and 'Staff', with lines connecting all elements.","McKinsey 7S Model, Network Diagram, elements: Central circle labeled 'Shared Values' surrounded by six outer circles labeled: 'Strategy', 'Structure', 'Systems', 'Skills', 'Style', and 'Staff', with lines connecting all elements. [Visual Analysis: dense, complex | Nodes: 9, Edges: 70]",dense,complex
"McKinsey 7S Model, Network Diagram, elements: Eight circular elements labeled: Strategy, Structure, Systems, Shared Values, Skills, Style, and Staff, arranged in a circular layout with connections between them.","McKinsey 7S Model, Network Diagram, elements: Eight circular elements labeled: Strategy, Structure, Systems, Shared Values, Skills, Style, and Staff, arranged in a circular layout with connections between them. [Visual Analysis: network, complex | Nodes: 38, Edges: 174]",network,complex
"Intersection of Learning Theories and Podcasting, Venn Diagram, elements: Three overlapping circles labeled 'Podcasting', 'Constructivist Learning Theory (CLT)', and 'Hybrid Learning Environment (HLE)', with descriptions underneath each label. Arrows indicating relationships between concepts.","Intersection of Learning Theories and Podcasting, Venn Diagram, elements: Three overlapping circles labeled 'Podcasting', 'Constructivist Learning Theory (CLT)', and 'Hybrid Learning Environment (HLE)', with descriptions underneath each label. Arrows indicating relationships between concepts. [Visual Analysis: empty, complex | Nodes: 0, Edges: 217]",empty,complex
"Balanced Scorecard Metrics, Circular Flow Diagram, elements: Four quadrants labeled Customer, Financial, Internal Processes, Learning and Growth, with text boxes noting specific goals for each area.","Balanced Scorecard Metrics, Circular Flow Diagram, elements: Four quadrants labeled Customer, Financial, Internal Processes, Learning and Growth, with text boxes noting specific goals for each area. [Visual Analysis: empty, complex | Nodes: 0, Edges: 140]",empty,complex
"Zone of Proximal Development, Circular Diagram, elements: Concentric circles with labels: 'Current Ability' in the center, surrounded by 'Ability + Assistance', then 'Inability', and the outermost circle labeled 'Zone of Proximal Development'.","Zone of Proximal Development, Circular Diagram, elements: Concentric circles with labels: 'Current Ability' in the center, surrounded by 'Ability + Assistance', then 'Inability', and the outermost circle labeled 'Zone of Proximal Development'. [Visual Analysis: dense, simple | Nodes: 2, Edges: 8]",dense,simple
"Porter's Value Chain Analysis, Flow Diagram, elements: Two horizontal sections with 'Supporting activities' and 'Primary activities', each containing labeled boxes for activities, and margins indicated on the right.","Porter's Value Chain Analysis, Flow Diagram, elements: Two horizontal sections with 'Supporting activities' and 'Primary activities', each containing labeled boxes for activities, and margins indicated on the right. [Visual Analysis: dense, complex | Nodes: 8, Edges: 87]",dense,complex
"Original vs Revised Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with two layers: original taxonomy with levels labeled from Knowledge to Evaluation; revised taxonomy with levels labeled from Remember to Create, demonstrating a shift from nouns to verbs.","Original vs Revised Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure with two layers: original taxonomy with levels labeled from Knowledge to Evaluation; revised taxonomy with levels labeled from Remember to Create, demonstrating a shift from nouns to verbs. [Visual Analysis: dense, complex | Nodes: 14, Edges: 198]",dense,complex
"VARK Learning Styles, Circular Diagram, elements: Four quadrants labeled: Visual, Aural, Read/Write, and Kinesthetic, with a central figure representing different learning styles, and teaching tips provided for each style.","VARK Learning Styles, Circular Diagram, elements: Four quadrants labeled: Visual, Aural, Read/Write, and Kinesthetic, with a central figure representing different learning styles, and teaching tips provided for each style. [Visual Analysis: dense, complex | Nodes: 17, Edges: 336]",dense,complex
"Trie Data Structure, Tree Diagram, elements: Tree structure with nodes labeled as 'Root', 'b', 'e', 't', and branching to various sub-nodes representing character sequences, showcasing the hierarchical relationship of prefixes.","Trie Data Structure, Tree Diagram, elements: Tree structure with nodes labeled as 'Root', 'b', 'e', 't', and branching to various sub-nodes representing character sequences, showcasing the hierarchical relationship of prefixes. [Visual Analysis: dense, complex | Nodes: 7, Edges: 39]",dense,complex
"PESTEL Analysis, Circular Diagram, elements: Central label 'PESTEL ANALYSE' surrounded by six circles, each labeled with a factor: 'Sociale faktorer', 'Økonomiske faktorer', 'Politiske faktorer', 'Lovmæssige faktorer', 'Miljømæssige faktorer', 'Teknologiske faktorer'.","PESTEL Analysis, Circular Diagram, elements: Central label 'PESTEL ANALYSE' surrounded by six circles, each labeled with a factor: 'Sociale faktorer', 'Økonomiske faktorer', 'Politiske faktorer', 'Lovmæssige faktorer', 'Miljømæssige faktorer', 'Teknologiske faktorer'. [Visual Analysis: dense, complex | Nodes: 16, Edges: 64]",dense,complex
"Introduction to Keynesian Theory, Flow Diagram, elements: Circular flow with numbered points connected by lines, labeled: 1. Historical Context, 2. Aggregate Demand and Consumption, 3. Government Intervention, 4. The Multiplier Effect, 5. Criticisms and Limitations, with each point represented by a colored circle.","Introduction to Keynesian Theory, Flow Diagram, elements: Circular flow with numbered points connected by lines, labeled: 1. Historical Context, 2. Aggregate Demand and Consumption, 3. Government Intervention, 4. The Multiplier Effect, 5. Criticisms and Limitations, with each point represented by a colored circle. [Visual Analysis: network, complex | Nodes: 32, Edges: 118]",network,complex
"Content Types for Marketing Funnel, Grid, elements: Three rows labeled 'Top of the funnel', 'Middle of the funnel', and 'Bottom of the funnel'. Four columns categorized as Visual, Auditory, Read/write, and Kinaesthetic, each containing specific content examples related to the funnel stages.","Content Types for Marketing Funnel, Grid, elements: Three rows labeled 'Top of the funnel', 'Middle of the funnel', and 'Bottom of the funnel'. Four columns categorized as Visual, Auditory, Read/write, and Kinaesthetic, each containing specific content examples related to the funnel stages. [Visual Analysis: sparse, complex | Nodes: 40, Edges: 155]",sparse,complex
"Aggregate Demand and Supply Analysis, Economic Model Diagram, elements: Two axes labeled 'Price level' and 'Real GDP per year'. Lines representing AD and SRAS for 1929 and 1933, LRAS as a vertical line, with points of intersection indicating equilibrium. Price levels P1929 and P1933 indicated with horizontal dashed lines.","Aggregate Demand and Supply Analysis, Economic Model Diagram, elements: Two axes labeled 'Price level' and 'Real GDP per year'. Lines representing AD and SRAS for 1929 and 1933, LRAS as a vertical line, with points of intersection indicating equilibrium. Price levels P1929 and P1933 indicated with horizontal dashed lines. [Visual Analysis: dense, complex | Nodes: 12, Edges: 45]",dense,complex
"Tax Rate Impact on Revenues, Curved Graph, elements: Curved graph with Tax Rate on the vertical axis (0% to 100%) and Revenues ($) on the horizontal axis. A shaded area indicates prohibitive tax rates affecting revenues.","Tax Rate Impact on Revenues, Curved Graph, elements: Curved graph with Tax Rate on the vertical axis (0% to 100%) and Revenues ($) on the horizontal axis. A shaded area indicates prohibitive tax rates affecting revenues. [Visual Analysis: dense, complex | Nodes: 9, Edges: 35]",dense,complex
"ADDIE Model, Flowchart, elements: Circular flow with five labeled steps: 01 Analysis, 02 Design, 03 Development, 04 Implementation, 05 Evaluation, interconnected with arrows.","ADDIE Model, Flowchart, elements: Circular flow with five labeled steps: 01 Analysis, 02 Design, 03 Development, 04 Implementation, 05 Evaluation, interconnected with arrows. [Visual Analysis: dense, complex | Nodes: 17, Edges: 116]",dense,complex
"PESTLE Analysis Model Framework, Circular Flow Diagram, elements: Central circle labeled 'PESTLE ANALYSIS' with six surrounding circles representing factors: Political, Economic, Social, Technological, Legal, and Environmental.","PESTLE Analysis Model Framework, Circular Flow Diagram, elements: Central circle labeled 'PESTLE ANALYSIS' with six surrounding circles representing factors: Political, Economic, Social, Technological, Legal, and Environmental. [Visual Analysis: dense, complex | Nodes: 11, Edges: 102]",dense,complex
"Maslow's Hierarchy of Needs, Pyramid Diagram, elements: Pyramid structure with five layers labeled from bottom to top: Physiological needs, Safety needs, Love and belonging, Esteem, Self-actualization, with descriptions of each need.","Maslow's Hierarchy of Needs, Pyramid Diagram, elements: Pyramid structure with five layers labeled from bottom to top: Physiological needs, Safety needs, Love and belonging, Esteem, Self-actualization, with descriptions of each need. [Visual Analysis: dense, complex | Nodes: 5, Edges: 98]",dense,complex
"Kohlberg's Stages of Moral Development, , elements: Title at the top; silhouettes of a child, adolescent, and adult representing different stages of moral development.","Kohlberg's Stages of Moral Development, , elements: Title at the top; silhouettes of a child, adolescent, and adult representing different stages of moral development. [Visual Analysis: network, complex | Nodes: 28, Edges: 82]",network,complex
"Employer Reviews on Kununu and Herzberg's Two-Factor Theory, Comparison Diagram, elements: Left side features Kununu reviews with ratings and categories like Career Development and Teamwork, while the right side displays Herzberg's theory categorized into Motivation Factors (with elements like Career Advancement) and Hygiene Factors (featuring Peer Relationships), with satisfaction gradient illustrated.","Employer Reviews on Kununu and Herzberg's Two-Factor Theory, Comparison Diagram, elements: Left side features Kununu reviews with ratings and categories like Career Development and Teamwork, while the right side displays Herzberg's theory categorized into Motivation Factors (with elements like Career Advancement) and Hygiene Factors (featuring Peer Relationships), with satisfaction gradient illustrated. [Visual Analysis: network, complex | Nodes: 42, Edges: 258]",network,complex
"Stages of Psychosocial Development, Circular Diagram, elements: Circular layout with labeled segments representing different life stages: Early Childhood, Infancy, Preschool, School Age, Adolescence, Young Adulthood, Middle Adulthood, and Maturity, each with associated conflicts.","Stages of Psychosocial Development, Circular Diagram, elements: Circular layout with labeled segments representing different life stages: Early Childhood, Infancy, Preschool, School Age, Adolescence, Young Adulthood, Middle Adulthood, and Maturity, each with associated conflicts. [Visual Analysis: empty, complex | Nodes: 0, Edges: 247]",empty,complex
"Bloom's Taxonomy Verbs, Grid, elements: A grid layout with six columns labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create. Each column contains lists of verbs associated with each cognitive level.","Bloom's Taxonomy Verbs, Grid, elements: A grid layout with six columns labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create. Each column contains lists of verbs associated with each cognitive level. [Visual Analysis: sparse, complex | Nodes: 72, Edges: 236]",sparse,complex
